description,category,service,cloud_provider,id
Data transport solutions at petabyte scale offered.,Storage,AWS Snowball,aws,7dcc7a26
Service offering petabyte-scale data transport.,Storage,AWS Snowball,aws,7dcc7a26
Petabyte-scale data transport solutions provided.,Storage,AWS Snowball,aws,7dcc7a26
Solutions for petabyte-scale data transport.,Storage,AWS Snowball,aws,7dcc7a26
Service for infrastructure deployment.,Compute,Deployment Manager,gcp,f2cfccc9
Provides infrastructure deployment services.,Compute,Deployment Manager,gcp,f2cfccc9
Infrastructure deployment service provided.,Compute,Deployment Manager,gcp,f2cfccc9
Service offering infrastructure deployment.,Compute,Deployment Manager,gcp,f2cfccc9
Deployment service for infrastructure.,Compute,Deployment Manager,gcp,f2cfccc9
Service for general disk storage.,Storage,disk22,ibmcloud,484b96db
Provides general disk storage.,Storage,disk22,ibmcloud,484b96db
General disk storage provided.,Storage,disk22,ibmcloud,484b96db
Service offering general disk storage.,Storage,disk22,ibmcloud,484b96db
General storage for disks.,Storage,disk22,ibmcloud,484b96db
Service for Virtual Private Cloud.,Network,Virtual Private Cloud,ibmcloud,0290a242
Provides Virtual Private Cloud service.,Network,Virtual Private Cloud,ibmcloud,0290a242
Virtual Private Cloud service provided.,Network,Virtual Private Cloud,ibmcloud,0290a242
Service offering Virtual Private Cloud.,Network,Virtual Private Cloud,ibmcloud,0290a242
Virtual Private Cloud available.,Network,Virtual Private Cloud,ibmcloud,0290a242
Services for cloud integration.,Service,paas_svc_plan_cloud_integration,ibmcloud,d659ca4a
Provides cloud integration services.,Service,paas_svc_plan_cloud_integration,ibmcloud,d659ca4a
Cloud integration services provided.,Service,paas_svc_plan_cloud_integration,ibmcloud,d659ca4a
Service offering cloud integration.,Service,paas_svc_plan_cloud_integration,ibmcloud,d659ca4a
Integration services for cloud.,Service,paas_svc_plan_cloud_integration,ibmcloud,d659ca4a
Provides operational insights workspaces.,Analytics,microsoft.operationalinsights/workspaces,azure,d7498c6e
Operational insights workspaces offered.,Analytics,microsoft.operationalinsights/workspaces,azure,d7498c6e
Service offering operational insights workspaces.,Analytics,microsoft.operationalinsights/workspaces,azure,d7498c6e
Workspaces for operational insights provided.,Analytics,microsoft.operationalinsights/workspaces,azure,d7498c6e
Operational insights workspaces available.,Analytics,microsoft.operationalinsights/workspaces,azure,d7498c6e
Virtual firewall service with threat prevention.,Security,VM-Series Virtual NextGen Firewall w/ Threat Prevention - Bundle1 AWS,aws,d31d2df1
Provides virtual firewall with threat prevention.,Security,VM-Series Virtual NextGen Firewall w/ Threat Prevention - Bundle1 AWS,aws,d31d2df1
Service offering virtual firewall with threat prevention.,Security,VM-Series Virtual NextGen Firewall w/ Threat Prevention - Bundle1 AWS,aws,d31d2df1
Threat prevention with virtual firewall provided.,Security,VM-Series Virtual NextGen Firewall w/ Threat Prevention - Bundle1 AWS,aws,d31d2df1
Virtual firewall and threat prevention service.,Security,VM-Series Virtual NextGen Firewall w/ Threat Prevention - Bundle1 AWS,aws,d31d2df1
Service for general disk storage.,Storage,disk97,ibmcloud,9b232c98
Provides general disk storage.,Storage,disk97,ibmcloud,9b232c98
General disk storage provided.,Storage,disk97,ibmcloud,9b232c98
Service offering general disk storage.,Storage,disk97,ibmcloud,9b232c98
General storage for disks.,Storage,disk97,ibmcloud,9b232c98
Services for Connect Compose.,Service,paas_svc_plan_connect_compose,ibmcloud,9fc2c94f
Provides Connect Compose services.,Service,paas_svc_plan_connect_compose,ibmcloud,9fc2c94f
Connect Compose services provided.,Service,paas_svc_plan_connect_compose,ibmcloud,9fc2c94f
Service offering Connect Compose.,Service,paas_svc_plan_connect_compose,ibmcloud,9fc2c94f
Connect Compose available.,Service,paas_svc_plan_connect_compose,ibmcloud,9fc2c94f
Reserved instances for SQL databases in Azure provided.,Database Reserved,Azure RI SQL Database,azure,c6bb737c
Provides reserved instances for SQL databases in Azure.,Database Reserved,Azure RI SQL Database,azure,c6bb737c
Service offering reserved instances for SQL databases in Azure.,Database Reserved,Azure RI SQL Database,azure,c6bb737c
Azure reserved instances for SQL databases.,Database Reserved,Azure RI SQL Database,azure,c6bb737c
SQL database reserved instances in Azure.,Database Reserved,Azure RI SQL Database,azure,c6bb737c
