cloud_provider,category,service,description
aws,Security,AWS WAF,Web application firewall service
aws,Security,F5 Rules,Security rules for AWS WAF
aws,Security,F5 Rules for AWS WAF - Web exploits OWASP Rules,Security rules for web exploits
aws,Security,Fortinet Managed Rules for AWS WAF - Complete OWASP Top 10,Security rules for OWASP Top 10
aws,Security,VM-Series Next-Generation Firewall Bundle 1,Virtual firewall with security features
aws,Security,VM-Series Virtual NextGen Firewall w/ 5 Core Security Subs - Bundle2 AWS,Virtual firewall with advanced security features
aws,Security,VM-Series Virtual NextGen Firewall w/ Threat Prevention - Bundle1 AWS,Virtual firewall with threat prevention
aws,Security,Amazon Detective,Investigate security issues
aws,Security,Secrets Manager,Manage secrets and credentials
aws,Security,Trend Micro Cloud One,Cloud security service
aws,Security,Trend Micro Enterprise Solutions powered by Vision One with XDR,Enterprise security solutions
aws,Security,Trend Cloud One,Cloud security service
aws,Security,CIS Amazon Linux 2 Kernel 4.14 Benchmark - 1,Security benchmark for Amazon Linux 2
aws,Security,CIS Amazon Linux 2 Benchmark - 1 (ARM),Security benchmark for Amazon Linux 2 on ARM
aws,Security,CIS Amazon Linux 2 Kernel 4.14 Benchmark - Level 1,Security benchmark for Amazon Linux 2
aws,Security,CIS CentOS Linux 7 Benchmark L1 Container Image,Security benchmark for CentOS Linux 7
aws,Security,CIS Red Hat Enterprise Linux 7 Benchmark - Level 1,Security benchmark for Red Hat Enterprise Linux 7
aws,Security,CIS Red Hat Enterprise Linux 8 Benchmark - Level 1,Security benchmark for Red Hat Enterprise Linux 8
aws,Security,CIS Amazon Linux 2 Benchmark - Level 1 (ARM),Security benchmark for Amazon Linux 2 on ARM
aws,Security,CIS Ubuntu Linux 20.04 LTS Benchmark - Level 1,Security benchmark for Ubuntu Linux 20.04 LTS
aws,Security,Prisma Cloud (Annual Contract),Cloud security service
aws,Service,Amazon AppStream,Application streaming service
aws,Service,Amazon Chime,Online meeting and video conferencing service
aws,Service,Amazon Chime Dialin,Telephony service for Amazon Chime
aws,Service,Amazon Cognito,User authentication and authorization service
aws,Service,Amazon Connect,Cloud contact center service
aws,Service,Amazon Elastic Transcoder,Media transcoding service
aws,Service,Amazon GuardDuty,Threat detection service
aws,Service,Amazon MQ,Managed message broker service
aws,Service,Amazon Pinpoint,Customer engagement service
aws,Service,Amazon Purchase Recommendation,Purchase recommendation service
aws,Service,Amazon Registrar,Domain name registration service
aws,Service,Amazon SageMaker,Machine learning service
aws,Service,Amazon Simple Email Service,Email sending service
aws,Service,Amazon Simple Notification Service,Notification service
aws,Service,Amazon Simple Queue Service,Message queuing service
aws,Service,Amazon Simple Workflow Service,Workflow automation service
aws,Service,Amazon Transcribe,Speech-to-text service
aws,Service,Amazon WorkDocs,Document collaboration service
aws,Service,Amazon WorkMail,Email and calendar service
aws,Service,Amazon WorkSpaces,Virtual desktop service
aws,Service,AmazonWorkMail,Email and calendar service
aws,Service,AWS Amplify,Development platform for building mobile and web applications
aws,Service,AWS Application Discovery Service,Discover on-premises applications
aws,Service,AWS Budgets,Budget management service
aws,Service,AWS Cloud Map,Service discovery service
aws,Service,AWS Command Line Interface,Command line interface for AWS
aws,Service,AWS Config,Configuration management service
aws,Service,AWS Cost Explorer,Cost management service
aws,Service,AWS Device Farm,Mobile app testing service
aws,Service,AWS Directory Service,Managed directory service
aws,Service,AWS Elemental MediaStore,Media storage service
aws,Service,AWS Managed Services,Managed services for AWS infrastructure
aws,Service,AWS Management Console,Web-based interface for managing AWS
aws,Service,AWS Migration Hub,Centralized migration tracking service
aws,Service,AWS Mobile Hub,Mobile app development service
aws,Service,AWS Mobile SDK,Software development kit for mobile apps
aws,Service,AWS Schema Conversion Tool,Database schema conversion tool
aws,Service,AWS Server Migration Service,Server migration service
aws,Service,AWS Service Catalog,Service catalog management
aws,Service,AWS Transfer Family - Migration & Transfer,Data transfer service
aws,Service,AWS Transfer Family,Data transfer service
aws,Service,AWS Trusted Advisor,Resource optimization service
aws,Service,Cloudwatch Events,Event monitoring service
aws,Service,Comprehend Medical,Medical text analysis service
aws,Service,AWS AppSync,GraphQL API service
aws,Service,AWS CloudShell,Web-based shell for managing AWS resources
aws,Service,Magento2 Base Version,E-commerce platform
aws,Service,Amazon Kinesis Video Streams,Video streaming service
aws,Service,Amazon OpenSearch Service,Managed search and analytics service
aws,Service,Amazon Location Service,Location-based service
aws,Service,ContactCenterTelecomm,Telecommunications service for contact centers
aws,Service,AWS Resilience Hub,Resilience assessment and planning service
aws,Service,Contact Lens for Amazon Connect,Contact center analytics service
aws,Service,Rozie Experience Cloud,Customer experience management service
aws,Service,Red Hat OpenShift Service on AWS,Managed OpenShift service
aws,Service,Tax,Tax calculation service
aws,Service,Amazon Managed Workflows for Apache Airflow,Managed Apache Airflow service
aws,Service,Amazon Managed Service for Prometheus,Managed Prometheus service
aws,Service,Amazon Managed Grafana,Managed Grafana service
aws,Service,Amazon Fraud Detector,Fraud detection service
aws,Service,AWS DataSync,Data transfer service
aws,Service,Elastic Cloud (Elasticsearch Service),Managed Elasticsearch service
aws,Service,GitLab Premium Self Managed License,Self-managed GitLab service
aws,Service,Training and Certification Vouchers,Training and certification service
aws,Service,AWS Compute Optimizer,Resource optimization service
aws,Service,AWS Audit Manager,Audit management service
aws,Service,AWS Lake Formation,Data lake management service
aws,Service,(Private) Cortex,Private data service
aws,Storage,Amazon Elastic Block Storage,Provides block storage volumes for use with Amazon EC2 instances.
aws,Storage,Amazon Elastic File System,Provides scalable file storage for use with Amazon EC2.
aws,Storage,AWS Application Migration Service,Enables migration of applications to AWS.
aws,Storage,Amazon FSx,Provides fully managed file storage.
aws,Storage,Amazon Glacier,Provides low-cost cloud storage for data archiving and long-term backup.
aws,Storage,Amazon Simple Storage Service,Provides scalable object storage.
aws,Storage,AWS Snowball,Offers petabyte-scale data transport solutions.
aws,Storage,AWS Snowball Edge,Provides edge computing and data transfer.
aws,Storage,AWS Snowmobile,Enables exabyte-scale data transfer to AWS.
aws,Storage,AWS Storage Gateway,Connects on-premises software appliances with cloud-based storage.
aws,Storage,AWS Backup,Provides centralized backup service.
aws,Storage,N2WS Backup & Recovery for AWS Enterprise Edition,Offers backup and recovery solutions for AWS.
aws,Storage,Amazon S3 Glacier Deep Archive,Provides long-term data archiving with retrieval times in hours.
aws,Support,AWS Premium Support,Offers 24/7 technical support.
aws,Support,AWS Support (Business),Provides business-level support.
aws,Support,AWS Support (Developer),Provides developer-level support.
aws,Support,AWS Support (Enterprise),Provides enterprise-level support.
aws,Unknown,Unknown,Service details not available.
azure,Analytics,Analysis Services,Provides enterprise-grade analytics engine.
azure,Analytics,Application Insights,Offers application performance management and monitoring.
azure,Analytics,Azure Analysis Services,Provides enterprise-grade analytics as a service.
azure,Analytics,Azure Data Factory,Enables data integration and transformation.
azure,Analytics,Azure Data Factory v2,Provides cloud-based data integration service.
azure,Analytics,Azure Databricks,Offers Apache Spark-based analytics platform.
azure,Analytics,Azure IoT Hub,Provides secure communication between IoT applications and devices.
azure,Analytics,Azure Synapse Analytics,Offers analytics service that brings together big data and data warehousing.
azure,Analytics,Business Analytics,Provides business intelligence and analytics.
azure,Analytics,Cognitive Services,Offers AI services and cognitive APIs.
azure,Analytics,Data Catalog,Provides data discovery and metadata management.
azure,Analytics,Data Factory,Enables data integration and transformation.
azure,Analytics,Data Lake Analytics,Provides on-demand analytics job service.
azure,Analytics,Data Lake Store,Offers scalable data storage.
azure,Analytics,Data Management,Provides data management services.
azure,Analytics,Data Services,Offers various data services.
azure,Analytics,Dynamics 365 for Customer Insights,Provides customer data platform.
azure,Analytics,Event Hubs,Offers big data streaming platform and event ingestion service.
azure,Analytics,HDInsight,Provides cloud distribution of Hadoop components.
azure,Analytics,Insight and Analytics,Offers insights and analytics services.
azure,Analytics,IoT Hub,Provides secure communication between IoT applications and devices.
azure,Analytics,Log Analytics,Offers log data collection and analysis.
azure,Analytics,microsoft.insights/components,Provides insights components.
azure,Analytics,microsoft.operationalinsights/workspaces,Offers operational insights workspaces.
azure,Analytics,Power BI,Provides business analytics service.
azure,Analytics,Power BI Embedded,Offers Power BI capabilities in applications.
azure,Analytics,Stream Analytics,Provides real-time stream processing.
azure,Analytics Reserved,Azure RI Synapse Analytics,Reserved instance for Synapse Analytics.
azure,Analytics Reserved,Azure RI Databricks,Reserved instance for Databricks.
azure,Artificial Intelligence,Azure Cognitive Search,Provides AI-powered cloud search service.
azure,Artificial Intelligence,Azure Machine Learning,Offers cloud-based machine learning service.
azure,Artificial Intelligence,Machine Learning,Provides machine learning services.
azure,Artificial Intelligence,Machine Learning Service,Offers managed machine learning service.
azure,Artificial Intelligence,Machine Learning Studio,Provides collaborative data science development environment.
azure,Artificial Intelligence,ML API Services,Offers machine learning API services.
azure,Compute Reserved,Azure Reserved Instance,Reserved instance for compute services.
azure,Compute,10 Hrs,Provides 10 hours of compute service.
azure,Compute,100 Hourly Reserved Units,Offers 100 hourly reserved compute units.
azure,Compute,100 Hourly Units,Provides 100 hourly compute units.
azure,Compute,100 Hrs,Offers 100 hours of compute service.
azure,Compute,100 Minutes,Provides 100 minutes of compute service.
azure,Compute,API Management,Offers API management service.
azure,Compute,App Services,Provides platform for building and hosting web apps.
azure,Compute,Automation,Offers automation services.
azure,Compute,Automation and Control,Provides automation and control services.
azure,Compute,Azure App Service Plan,Offers plans for Azure App Service.
azure,Compute,Azure App Service,Provides platform for building and hosting web apps.
azure,Compute,Batch,Offers job scheduling and compute management.
azure,Compute,Cloud Services,Provides cloud-based services.
azure,Compute,Container Instances,Offers container management service.
azure,Compute,Container Registry,Provides container image registry service.
azure,Compute,Functions,Offers serverless compute service.
azure,Compute,Microsoft.Compute/virtualMachines,Provides virtual machines.
azure,Compute,Microsoft.Web/serverfarms,Offers server farms for web hosting.
azure,Compute,Microsoft.Web/sites,Provides web hosting services.
azure,Compute,RemoteApp,Offers remote application services.
azure,Compute,Scheduler,Provides job scheduling service.
azure,Compute,Service Bus,Offers messaging infrastructure.
azure,Compute,Virtual Machines,Provides virtual machines.
azure,Other,Unassociated Cost,Represents unassociated costs.
azure,Compute,Visual Studio,Offers development tools.
azure,Compute,Websites,Provides web hosting services.
azure,Compute,Windows Azure Service Bus,Offers messaging infrastructure.
azure,Compute,Specialized Compute,Provides specialized compute services.
azure,Compute Reserved,Azure RI Dedicated Host,Reserved instance for dedicated host.
azure,Compute Reserved,Azure RI Red Hat OpenShift,Reserved instance for Red Hat OpenShift.
azure,Database,Azure Cosmos DB,"Provides globally distributed, multi-model database service."
azure,Database,Azure Database for MariaDB,Offers managed MariaDB database service.
azure,Database,Azure Database for MySQL,Provides managed MySQL database service.
azure,Database,Azure Database for PostgreSQL,Offers managed PostgreSQL database service.
azure,Database,Azure DB for MYSql,Provides managed MySQL database service.
azure,Database,Database Services,Offers various database services.
azure,Database,DocumentDB,Provides NoSQL document database service.
azure,Database,Managed SQL Instance,Offers managed SQL database instance.
azure,Database,SQL Data Warehouse,Provides data warehousing service.
azure,Database,SQL Database,Offers managed SQL database service.
azure,Database,ElasticPool,Provides elastic pool for SQL databases.
azure,Database,SQL Managed Instance,Offers managed SQL database instance.
azure,Database,SQL Reporting,Provides SQL reporting services.
azure,Database,SQL Server Stretch Database,Offers SQL Server stretch database service.
azure,Database,SQL Elastic Pool,Provides elastic pool for SQL databases.
azure,DevOps,Azure DevOps,Offers development and collaboration tools.
azure,Container,Azure Kubernetes Service,Provides managed Kubernetes service.
azure,License,License,Represents licensing costs.
azure,License,Virtual Machines Licenses,Provides licenses for virtual machines.
azure,Monitoring,Azure Monitor,Offers monitoring and diagnostics service.
azure,Monitoring,Network Watcher,Provides network monitoring and diagnostics.
azure,Network,*Microsoft.Network/networkInterfaces,Provides network interfaces for Azure virtual machines.
azure,Network,Application Gateway,Offers application-level routing and load balancing.
azure,Network,Azure Active Directory B2C,Provides identity management for customer-facing applications.
azure,Network,Azure Bastion,Enables secure and seamless RDP and SSH connectivity to VMs.
azure,Network,Azure DDOS Protection,Provides distributed denial-of-service (DDoS) protection.
azure,Network,Azure DNS,Offers DNS domain hosting.
azure,Network,Azure Firewall,"Provides managed, cloud-based network security service."
azure,Network,Azure Firewall Manager,Centralizes management of Azure Firewall policies.
azure,Network,Bandwidth,Represents data transfer costs.
azure,Network,CDN Data Transfer,Provides content delivery network data transfer.
azure,Network,Event Grid,Offers event routing service.
azure,Network,ExpressRoute,Provides private connections to Azure datacenters.
azure,Network,Load Balancer,Offers load balancing for applications.
azure,Network,Microsoft.Network/networkInterfaces,Provides network interfaces for Azure virtual machines.
azure,Network,Microsoft.Network/publicIPAddresses,Offers public IP addresses for Azure resources.
azure,Network,Microsoft.Storage/publicIPAddresses,Provides public IP addresses for Azure storage accounts.
azure,Network,NAT Gateway,Provides outbound internet connectivity for virtual networks.
azure,Network,Network/dnszones,Offers DNS zone management.
azure,Network,Network/loadBalancers,Provides load balancing for applications.
azure,Network,Network/networkSecurityGroups,Offers network security group management.
azure,Network,Network/privateDnsZones,Provides private DNS zone management.
azure,Network,Network/publicIPAddresses,Offers public IP addresses for Azure resources.
azure,Network,Networking,Represents general networking services.
azure,Network,Notification Hubs,Provides push notification services.
azure,Network,Traffic Manager,Offers DNS-based traffic load balancing.
azure,Network,Virtual Network,Provides virtual network management.
azure,Network,Virtual WAN,Offers wide area network management.
azure,Network,VPN Gateway,Provides site-to-site VPN connectivity.
azure,Network,Azure Route Server,Enables dynamic routing between network virtual appliances.
azure,Security,Advanced Threat Protection,Provides advanced threat detection and response.
azure,Security,Identity,Offers identity management services.
azure,Security,Key Vault,Provides secure key management.
azure,Security,Multi-Factor Authentication,Offers multi-factor authentication services.
azure,Security,Security Center,Provides unified security management.
azure,Security,Advanced Data Security,Offers advanced data protection services.
azure,Security,Sentinel,Provides cloud-native security information and event management (SIEM).
azure,Security,Microsoft Defender for Cloud,Offers cloud security posture management.
azure,Security,Azure Defender,Provides threat protection for Azure resources.
azure,Service,Advisor/recommendations,Offers personalized best practices recommendations.
azure,Service,Azure Bot Service,Provides bot development and hosting.
azure,Service,Azure Search,Offers search-as-a-service.
azure,Service,Backup,Provides backup and recovery services.
azure,Service,BizTalk Services,Offers enterprise integration services.
azure,Service,CDN,Provides content delivery network services.
azure,Service,Content Delivery Network,Offers content delivery network services.
azure,Service,Logic Apps,Provides workflow automation.
azure,Service,Media Services,Offers media encoding and streaming services.
azure,Service,Microsoft.ApiManagement/service,Provides API management services.
azure,Service,Microsoft.Automation/automationAccounts,Offers automation account management.
azure,Service,Microsoft.Search/searchServices,Provides search-as-a-service.
azure,Service,microsoft.siterecovery/SiteRecoveryVault,Offers disaster recovery services.
azure,Service,Mobile Engagement,Provides mobile engagement analytics.
azure,Service,Mobile Services,Offers mobile backend services.
azure,Service,Recovery Services,Provides disaster recovery services.
azure,Service,SignalR,Offers real-time web functionality.
azure,Service,Visual Studio Codespaces,Provides cloud-hosted development environments.
azure,Service,Visual Studio Online,Offers cloud-hosted development environments.
azure,Service,Visual Studio Subscription,Provides access to development tools and services.
azure,Service,Visual Studio Team Services,Offers development collaboration tools.
azure,Service,Windows Azure CDN,Provides content delivery network services.
azure,Service,App Center,Offers continuous integration and delivery for mobile apps.
azure,Service,App Configuration,Provides centralized configuration management.
azure,Service,Azure Active Directory Domain Services,Offers managed domain services.
azure,Service,Azure Data Share,Provides secure data sharing.
azure,Service,Azure Front Door Service,Offers global load balancing and site acceleration.
azure,Service,Azure Purview,Provides unified data governance.
azure,Service,AzureMarketPlace,Offers a marketplace for Azure applications and services.
azure,Service,SavingsPlan,Provides cost-saving plans for Azure services.
azure,Service,MarketPlace,Offers a marketplace for Azure applications and services.
azure,Service,Github,Provides GitHub services.
azure,Service,Azure Load Testing,Offers load testing for applications.
azure,Service,Power Automate,Provides workflow automation.
azure,Service,Azure Arc,Offers hybrid cloud management.
azure,Service,Azure Stack HCI,Provides hyper-converged infrastructure.
azure,Service Reserved,Azure RI CloudSimple VMware Solution,Reserved instance for CloudSimple VMware Solution.
azure,Service Reserved,Azure RI App Services,Reserved instance for App Services.
azure,Service Reserved,Azure RI VMware Solution,Reserved instance for VMware Solution.
azure,Storage,*Storage,Represents general storage services.
azure,Storage,Disk,Provides disk storage.
azure,Storage,BlobChangeFeed,Offers change feed for blob storage.
azure,Storage,Blob,Provides object storage.
azure,Storage,File,Offers file storage.
