cloud_provider,category,service,description,id
aws,Artificial Intelligence,Alexa for Business,A service that enables organizations and employees to use Alexa to get more work done.,9b898287
aws,Artificial Intelligence,Amazon Textract,A service that automatically extracts text and data from scanned documents.,394a6c50
aws,Artificial Intelligence,Amazon Kendra,An intelligent search service powered by machine learning.,2bead42c
aws,Artificial Intelligence,Amazon Forecast,A fully managed service that uses machine learning to deliver highly accurate forecasts.,02a5c11f
aws,Artificial Intelligence,Amazon Personalize,A machine learning service that makes it easy for developers to create individualized recommendations for customers.,994288f3
aws,Artificial Intelligence,Product Discovery and Search,A service that helps users find products and services.,f383f9f0
aws,Artificial Intelligence,Claude Instant (12K) (Amazon Bedrock Edition),A language model for natural language understanding and generation.,50f6fbe2
aws,Artificial Intelligence,SDXL Beta V0.8 (Amazon Bedrock Edition),A beta version of a language model for natural language understanding and generation.,9f650edb
aws,Artificial Intelligence,Data Labeling Services by iMerit,A service that provides data labeling for machine learning.,fe98bce0
aws,Artificial Intelligence,Jurassic-2 Mid (Amazon Bedrock Edition),A language model for natural language understanding and generation.,01e562d8
aws,Artificial Intelligence,Jurassic-2 Ultra (Amazon Bedrock Edition),A language model for natural language understanding and generation.,21b2826a
aws,Artificial Intelligence,Claude(12K) (Amazon Bedrock Edition),A language model for natural language understanding and generation.,ca05deb6
aws,Charge,APN Annual Program Fee,An annual fee for the AWS Partner Network program.,ff9190ad
aws,Charge,OCBFinance Charge,A finance charge for AWS services.,b4bd775a
aws,Compute Savings Plan,Savings Plans for AWS Compute usage,A flexible pricing model that offers significant savings on AWS usage.,e6c36f22
aws,Compute Reserved,Amazon Reserved Instance,A reservation of capacity for Amazon EC2 instances.,e0b1c2dc
aws,Compute,Amazon API Gateway,A fully managed service that makes it easy for developers to create publish maintain monitor and secure APIs.,c4a5a2c7
aws,Other,Unassociated Cost,Costs that are not associated with any specific service.,edf7d119
aws,Compute,Amazon EC2,A web service that provides resizable compute capacity in the cloud.,414064f3
aws,Compute,Amazon EC2 Container Registry,A fully managed Docker container registry that makes it easy for developers to store manage and deploy Docker container images.,9a8adda3
aws,Compute,Amazon EC2 Container Registry (ECR),"A fully managed Docker container registry that makes it easy for developers to store, manage, and deploy Docker container images.",da734fce
aws,Compute,Amazon EC2 Container Service,"A highly scalable, high-performance container management service.",3b384ea8
aws,Compute,Amazon Elastic Compute Cloud,A web service that provides resizable compute capacity in the cloud.,f01ae1fb
aws,Compute,Amazon Elastic Container Service for Kubernetes,A managed service that makes it easy to run Kubernetes on AWS without needing to install and operate your own Kubernetes control plane.,37e738f5
aws,Compute,Amazon Elastic Container Service,"A highly scalable, high-performance container management service.",277c6b13
aws,Compute,Amazon Elastic Load Balancer,A load balancing service for AWS deployments.,352aa828
aws,Compute,Amazon Lightsail,A simplified cloud platform that offers everything you need to build an application or website.,edfad2a2
aws,Compute,Amazon Managed Streaming for Apache Kafka,A fully managed service that makes it easy to build and run applications that use Apache Kafka to process streaming data.,21c3010a
aws,Compute,Amazon Virtual Private Cloud,A service that lets you provision a logically isolated section of the AWS cloud where you can launch AWS resources in a virtual network.,f908196b
aws,Compute,Microsoft Windows Server 2008 R2,A version of the Windows Server operating system.,ae4cd39e
aws,Compute,OpenLDAP - Open Source Directory Services powered by TurnKey Linux (HVM),An open-source implementation of the Lightweight Directory Access Protocol.,e2826086
aws,Compute,Auto Scaling,A service that automatically adjusts the number of Amazon EC2 instances in response to changing demand.,96df91d2
aws,Compute,AWS Batch,"A fully managed service that enables developers, scientists, and engineers to easily and efficiently run hundreds of thousands of batch computing jobs.",1d030e54
aws,Compute,AWS CodeArtifact,"A fully managed artifact repository service that makes it easy for organizations to securely store, publish, and share software packages.",badf763b
aws,Compute,AWS CodeBuild,"A fully managed continuous integration service that compiles source code, runs tests, and produces software packages that are ready to deploy.",2917e309
aws,Compute,AWS CodeCommit,A fully managed source control service that makes it easy for teams to host secure and scalable Git repositories.,a1b0df33
aws,Compute,AWS CodeDeploy,"A service that automates code deployments to any instance, including Amazon EC2 instances and instances running on-premises.",56795265
aws,Compute,AWS CodePipeline,A continuous integration and continuous delivery service for fast and reliable application and infrastructure updates.,ed301207
aws,Compute,AWS CodeStar,"A service that enables you to quickly develop, build, and deploy applications on AWS.",c3daedc5
aws,Compute,AWS Elastic Beanstalk,An easy-to-use service for deploying and scaling web applications and services.,b6d94801
aws,Compute,AWS Lambda,A compute service that lets you run code without provisioning or managing servers.,c777f9cd
aws,Compute,AWS Step Functions,A serverless orchestration service that lets you combine AWS Lambda functions and other AWS services to build business-critical applications.,39aff6ec
aws,Compute,CodeBuild,"A fully managed continuous integration service that compiles source code, runs tests, and produces software packages that are ready to deploy.",c4415563
aws,Compute,Elastic Load Balancing,A load balancing service for AWS deployments.,838ad0b1
aws,Compute,PHP 7 - Zend Server Developer Edition (Ubuntu),A PHP application server for developing and deploying PHP applications.,f6a770c5
aws,Compute,Rhel8 Lampstack,A LAMP stack on Red Hat Enterprise Linux 8.,1ffe48c9
aws,Compute,AWS Tools & SDKs,Tools and SDKs for developing applications on AWS.,a3acb06e
aws,Compute,NGINX Plus Basic - Amazon Linux 2 (LTS) AMI,"A high-performance web server, load balancer, and reverse proxy.",6bc437c2
aws,Compute,NGINX Plus Basic - Amazon Linux AMI,"A high-performance web server, load balancer, and reverse proxy.",9d9c9e44
aws,Compute,NGINX Plus Premium - Amazon Linux 2 (LTS) AMI,"A high-performance web server, load balancer, and reverse proxy.",9b22f387
aws,Compute,Ubuntu 17.04 SELinux enforcing AMI with ec2-user context,An Ubuntu AMI with SELinux enforcing.,e324cc33
aws,Compute,Secured Visual Studio Professional 2019 on Windows Server 2019,A secured version of Visual Studio Professional 2019 on Windows Server 2019.,f85bca06
aws,Compute,Rocky Linux 8 with LVM,A version of Rocky Linux 8 with Logical Volume Management.,fde8c89b
aws,Compute,CentOS 7 w/Support by SupportedImages,A version of CentOS 7 with support.,43259911
aws,Compute,Flow Logs for VPC,A feature that enables you to capture information about the IP traffic going to and from network interfaces in your VPC.,d5f95075
aws,Compute Reserved,Amazon Redshift reserved node,A reserved node for Amazon Redshift.,43a4ccc8
aws,Database,Amazon Keyspaces (for Apache Cassandra),Managed Cassandra-compatible database service,77a465ea
aws,Database,Amazon Neptune,Graph database service,6a309131
aws,Database Reserved,Amazon Reserved DB Instance,Reserved instances for database services,a848ac09
aws,Database,Amazon Aurora,High-performance managed relational database,da39d459
aws,Database,Amazon DocumentDB (with MongoDB compatibility),Managed MongoDB-compatible database service,08db6b49
aws,Database,Amazon DynamoDB,Managed NoSQL database service,ac81626e
aws,Database,Amazon DynamoDB Accelerator,In-memory caching for DynamoDB,9d85a152
aws,Database,Amazon ElastiCache,In-memory caching service,eb0c216c
aws,Database,Amazon RDS,Managed relational database service,db65ca3e
aws,Database,Amazon RDS Service,Managed relational database service,6d199f55
aws,Database,Amazon Redshift,Data warehousing service,1d7e2651
aws,Database,Amazon Relational Database Service,Managed relational database service,c95cd59d
aws,Database,Amazon SimpleDB,NoSQL database service,ed5f2f2c
aws,Database,AWS Database Migration Service,Service to migrate databases to AWS,ac204d07
aws,Database,DynamoDB Accelerator (DAX),In-memory caching for DynamoDB,f006177c
aws,Database,Amazon Quantum Ledger Database,Managed ledger database service,3724df57
aws,Database,Amazon MemoryDB,Redis-compatible in-memory database service,ac5b1fa2
aws,Database,Amazon Timestream,Time series database service,517f4bfc
aws,Monitoring,Amazon CloudWatch,Monitoring and observability service,de278b87
aws,Monitoring,Amazon EC2 Systems Manager,Manage EC2 instances,39977d48
aws,Monitoring,AmazonCloudWatch,Monitoring and observability service,a6e76353
aws,Monitoring,AWS CloudFormation,Infrastructure as code service,245ea171
aws,Monitoring,AWS CloudTrail,Logging and monitoring of AWS account activity,046a6d3b
aws,Monitoring,AWS Cost and Usage Report,Cost and usage reporting service,078b3003
aws,Monitoring,AWS OpsWorks,Configuration management service,ecf50369
aws,Monitoring,AWS Personal Health Dashboard,Personalized view of AWS service health,70cb9f46
aws,Monitoring,AWS Systems Manager,Manage AWS resources,cb22ad9b
aws,Monitoring,AWS X-Ray,Distributed tracing service,25012bd9
aws,Monitoring,Reserved Instance Reporting,Reporting for reserved instances,737d0cc0
aws,Network,Amazon CloudFront,Content delivery network service,ebfff316
aws,Network,Amazon Elastic IP,Static IP addresses for AWS resources,a59b3dd5
aws,Network,Amazon Route 53,Scalable DNS and domain name registration service,dccdcd6e
aws,Network,Amazon VPC,Virtual private cloud service,ee9a3869
aws,Network,AWS Data Transfer,Data transfer service,474ed144
aws,Network,AWS Direct Connect,Dedicated network connection to AWS,e79b036f
aws,Network,Network Security Rules,Network security management,2819de95
aws,Network,OpenVPN,VPN service,70ae1857
aws,Network,OpenVPN Access Server (10 Connected Devices),VPN service for up to 10 devices,1ea0f990
aws,Network,AWS Global Accelerator,Global traffic management service,05e4cf74
aws,Network,Cisco Cloud Services Router (CSR) 1000V - Security Pkg. Max Performance,Virtual router with security features,040c0f7e
aws,Network,Cisco Cloud Services Router (CSR) 1000V - AX Pkg. Max Performance,Virtual router with advanced features,a2ec6fa9
aws,Network,AWS Network Firewall,Managed network firewall service,b9f25769
aws,Security,Amazon Cloud Directory,Directory service for organizing hierarchies of data,41d2e6d1
aws,Security,Amazon Inspector,Automated security assessment service,9fd1d903
aws,Security,Amazon Macie,Data security and privacy service,8e2bba5c
aws,Security,AWS Artifact,Compliance and audit reporting service,79d22650
aws,Security,AWS Certificate Manager,Manage SSL/TLS certificates,d732db77
aws,Security,AWS CloudHSM,Hardware security module service,bb7ea6ba
aws,Security,AWS Firewall Manager,Centralized firewall management service,1b6f1612
aws,Security,AWS Identity and Access Management,Manage access to AWS resources,a5a03249
aws,Security,AWS Key Management Service,Managed encryption key service,e618c098
aws,Security,AWS Organizations,Manage multiple AWS accounts,3642cc0b
aws,Security,AWS Secrets Manager,Manage secrets and credentials,169ec412
aws,Security,AWS Security Hub,Centralized security management service,d1238bab
aws,Security,AWS Shield,DDoS protection service,10570aeb
aws,Security,AWS WAF,Web application firewall service,cecc33e2
aws,Security,F5 Rules,Security rules for AWS WAF,92942945
aws,Security,F5 Rules for AWS WAF - Web exploits OWASP Rules,Security rules for web exploits,2a56aabe
aws,Security,Fortinet Managed Rules for AWS WAF - Complete OWASP Top 10,Security rules for OWASP Top 10,b3f1577d
aws,Security,VM-Series Next-Generation Firewall Bundle 1,Virtual firewall with security features,5ab05370
aws,Security,VM-Series Virtual NextGen Firewall w/ 5 Core Security Subs - Bundle2 AWS,Virtual firewall with advanced security features,e73b5491
aws,Security,VM-Series Virtual NextGen Firewall w/ Threat Prevention - Bundle1 AWS,Virtual firewall with threat prevention,d31d2df1
aws,Security,Amazon Detective,Investigate security issues,80c8f3f0
aws,Security,Secrets Manager,Manage secrets and credentials,2e9e93f8
aws,Security,Trend Micro Cloud One,Cloud security service,ecc65856
aws,Security,Trend Micro Enterprise Solutions powered by Vision One with XDR,Enterprise security solutions,1207b881
aws,Security,Trend Cloud One,Cloud security service,e6b0ba83
aws,Security,CIS Amazon Linux 2 Kernel 4.14 Benchmark - 1,Security benchmark for Amazon Linux 2,96578d0e
aws,Security,CIS Amazon Linux 2 Benchmark - 1 (ARM),Security benchmark for Amazon Linux 2 on ARM,851e8103
aws,Security,CIS Amazon Linux 2 Kernel 4.14 Benchmark - Level 1,Security benchmark for Amazon Linux 2,f9c9416c
aws,Security,CIS CentOS Linux 7 Benchmark L1 Container Image,Security benchmark for CentOS Linux 7,ff3e678d
aws,Security,CIS Red Hat Enterprise Linux 7 Benchmark - Level 1,Security benchmark for Red Hat Enterprise Linux 7,bbba4926
aws,Security,CIS Red Hat Enterprise Linux 8 Benchmark - Level 1,Security benchmark for Red Hat Enterprise Linux 8,bcc57e43
aws,Security,CIS Amazon Linux 2 Benchmark - Level 1 (ARM),Security benchmark for Amazon Linux 2 on ARM,6c2e930e
aws,Security,CIS Ubuntu Linux 20.04 LTS Benchmark - Level 1,Security benchmark for Ubuntu Linux 20.04 LTS,ef4996d1
aws,Security,Prisma Cloud (Annual Contract),Cloud security service,6997139c
aws,Service,Amazon AppStream,Application streaming service,bc33fc6b
aws,Service,Amazon Chime,Online meeting and video conferencing service,11f9fa90
aws,Service,Amazon Chime Dialin,Telephony service for Amazon Chime,51600c0b
aws,Service,Amazon Cognito,User authentication and authorization service,0f2a922b
aws,Service,Amazon Connect,Cloud contact center service,fc735f86
aws,Service,Amazon Elastic Transcoder,Media transcoding service,b54d9447
aws,Service,Amazon GuardDuty,Threat detection service,2138dc36
aws,Service,Amazon MQ,Managed message broker service,2f6c677b
aws,Service,Amazon Pinpoint,Customer engagement service,0bd1d206
aws,Service,Amazon Purchase Recommendation,Purchase recommendation service,bce25e6a
aws,Service,Amazon Registrar,Domain name registration service,aa181762
aws,Service,Amazon SageMaker,Machine learning service,b6ce164a
aws,Service,Amazon Simple Email Service,Email sending service,0515eff4
aws,Service,Amazon Simple Notification Service,Notification service,4e32f557
aws,Service,Amazon Simple Queue Service,Message queuing service,d36f6732
aws,Service,Amazon Simple Workflow Service,Workflow automation service,bb85c311
aws,Service,Amazon Transcribe,Speech-to-text service,56ebc7fc
aws,Service,Amazon WorkDocs,Document collaboration service,24280177
aws,Service,Amazon WorkMail,Email and calendar service,3dce9a13
aws,Service,Amazon WorkSpaces,Virtual desktop service,5827ea87
aws,Service,AmazonWorkMail,Email and calendar service,0a321397
aws,Service,AWS Amplify,Development platform for building mobile and web applications,4d443263
aws,Service,AWS Application Discovery Service,Discover on-premises applications,335353c0
aws,Service,AWS Budgets,Budget management service,8b3622df
aws,Service,AWS Cloud Map,Service discovery service,83f53669
aws,Service,AWS Command Line Interface,Command line interface for AWS,01fd6537
aws,Service,AWS Config,Configuration management service,31a65cab
aws,Service,AWS Cost Explorer,Cost management service,6aa60d9b
aws,Service,AWS Device Farm,Mobile app testing service,688e4e14
aws,Service,AWS Directory Service,Managed directory service,d1a72b4b
aws,Service,AWS Elemental MediaStore,Media storage service,71c0d8f5
aws,Service,AWS Managed Services,Managed services for AWS infrastructure,d78540f2
aws,Service,AWS Management Console,Web-based interface for managing AWS,c5358e23
aws,Service,AWS Migration Hub,Centralized migration tracking service,701d5452
aws,Service,AWS Mobile Hub,Mobile app development service,0edac5c1
aws,Service,AWS Mobile SDK,Software development kit for mobile apps,884d63ad
aws,Service,AWS Schema Conversion Tool,Database schema conversion tool,25066282
aws,Service,AWS Server Migration Service,Server migration service,e9b8f601
aws,Service,AWS Service Catalog,Service catalog management,60fc518a
aws,Service,AWS Transfer Family - Migration & Transfer,Data transfer service,af7b5c82
aws,Service,AWS Transfer Family,Data transfer service,b44cf91e
aws,Service,AWS Trusted Advisor,Resource optimization service,639d2a61
aws,Service,Cloudwatch Events,Event monitoring service,8eaa0908
aws,Service,Comprehend Medical,Medical text analysis service,f1a0edcc
aws,Service,AWS AppSync,GraphQL API service,3d6573bf
aws,Service,AWS CloudShell,Web-based shell for managing AWS resources,660f8df6
aws,Service,Magento2 Base Version,E-commerce platform,f9828dd2
aws,Service,Amazon Kinesis Video Streams,Video streaming service,cf0ebd85
aws,Service,Amazon OpenSearch Service,Managed search and analytics service,86434c5f
aws,Service,Amazon Location Service,Location-based service,80128619
aws,Service,ContactCenterTelecomm,Telecommunications service for contact centers,47160c23
aws,Service,AWS Resilience Hub,Resilience assessment and planning service,5506f36c
aws,Service,Contact Lens for Amazon Connect,Contact center analytics service,d883ac34
aws,Service,Rozie Experience Cloud,Customer experience management service,26ec3bdb
aws,Service,Red Hat OpenShift Service on AWS,Managed OpenShift service,16792e9d
aws,Service,Tax,Tax calculation service,792672ee
aws,Service,Amazon Managed Workflows for Apache Airflow,Managed Apache Airflow service,ab7b4cb7
aws,Service,Amazon Managed Service for Prometheus,Managed Prometheus service,f830d174
aws,Service,Amazon Managed Grafana,Managed Grafana service,ded0ae74
aws,Service,Amazon Fraud Detector,Fraud detection service,a28721c0
aws,Service,AWS DataSync,Data transfer service,e321b52a
aws,Service,Elastic Cloud (Elasticsearch Service),Managed Elasticsearch service,bfed3130
aws,Service,GitLab Premium Self Managed License,Self-managed GitLab service,e34b6753
aws,Service,Training and Certification Vouchers,Training and certification service,60a20a6a
aws,Service,AWS Compute Optimizer,Resource optimization service,eef2a0bb
aws,Service,AWS Audit Manager,Audit management service,7162f4ff
aws,Service,AWS Lake Formation,Data lake management service,39ca4d94
aws,Service,(Private) Cortex,Private data service,086553c5
aws,Storage,Amazon Elastic Block Storage,Provides block storage volumes for use with Amazon EC2 instances.,bc5cd2d5
aws,Storage,Amazon Elastic File System,Provides scalable file storage for use with Amazon EC2.,43e88c6e
aws,Storage,AWS Application Migration Service,Enables migration of applications to AWS.,164e4c1e
aws,Storage,Amazon FSx,Provides fully managed file storage.,154551c9
aws,Storage,Amazon Glacier,Provides low-cost cloud storage for data archiving and long-term backup.,299b8b5c
aws,Storage,Amazon Simple Storage Service,Provides scalable object storage.,f063e8bd
aws,Storage,AWS Snowball,Offers petabyte-scale data transport solutions.,7dcc7a26
aws,Storage,AWS Snowball Edge,Provides edge computing and data transfer.,0bc9927b
aws,Storage,AWS Snowmobile,Enables exabyte-scale data transfer to AWS.,cc052a6d
aws,Storage,AWS Storage Gateway,Connects on-premises software appliances with cloud-based storage.,200e85e3
aws,Storage,AWS Backup,Provides centralized backup service.,d6b8f357
aws,Storage,N2WS Backup & Recovery for AWS Enterprise Edition,Offers backup and recovery solutions for AWS.,8d01f771
aws,Storage,Amazon S3 Glacier Deep Archive,Provides long-term data archiving with retrieval times in hours.,a004534f
aws,Support,AWS Premium Support,Offers 24/7 technical support.,3ef540ee
aws,Support,AWS Support (Business),Provides business-level support.,382ebbb1
aws,Support,AWS Support (Developer),Provides developer-level support.,3cad4e6c
aws,Support,AWS Support (Enterprise),Provides enterprise-level support.,30eb439d
aws,Unknown,Unknown,Service details not available.,da73f3a6
azure,Analytics,Analysis Services,Provides enterprise-grade analytics engine.,58229037
azure,Analytics,Application Insights,Offers application performance management and monitoring.,dbfef36b
azure,Analytics,Azure Analysis Services,Provides enterprise-grade analytics as a service.,8c6c61ad
azure,Analytics,Azure Data Factory,Enables data integration and transformation.,cc6054a1
azure,Analytics,Azure Data Factory v2,Provides cloud-based data integration service.,a91771e7
azure,Analytics,Azure Databricks,Offers Apache Spark-based analytics platform.,e818ff14
azure,Analytics,Azure IoT Hub,Provides secure communication between IoT applications and devices.,11fee324
azure,Analytics,Azure Synapse Analytics,Offers analytics service that brings together big data and data warehousing.,23a90911
azure,Analytics,Business Analytics,Provides business intelligence and analytics.,27f07d7f
azure,Analytics,Cognitive Services,Offers AI services and cognitive APIs.,06567265
azure,Analytics,Data Catalog,Provides data discovery and metadata management.,88b61c2b
azure,Analytics,Data Factory,Enables data integration and transformation.,b852932a
azure,Analytics,Data Lake Analytics,Provides on-demand analytics job service.,b69c52bd
azure,Analytics,Data Lake Store,Offers scalable data storage.,17fb0b57
azure,Analytics,Data Management,Provides data management services.,249b9fff
azure,Analytics,Data Services,Offers various data services.,0f11333a
azure,Analytics,Dynamics 365 for Customer Insights,Provides customer data platform.,467acfbc
azure,Analytics,Event Hubs,Offers big data streaming platform and event ingestion service.,e01c21ac
azure,Analytics,HDInsight,Provides cloud distribution of Hadoop components.,1eb28d7e
azure,Analytics,Insight and Analytics,Offers insights and analytics services.,0d77af65
azure,Analytics,IoT Hub,Provides secure communication between IoT applications and devices.,180f600d
azure,Analytics,Log Analytics,Offers log data collection and analysis.,8b8ee64c
azure,Analytics,microsoft.insights/components,Provides insights components.,c9d53b8e
azure,Analytics,microsoft.operationalinsights/workspaces,Offers operational insights workspaces.,d7498c6e
azure,Analytics,Power BI,Provides business analytics service.,4c0b59b7
azure,Analytics,Power BI Embedded,Offers Power BI capabilities in applications.,7892c6ab
azure,Analytics,Stream Analytics,Provides real-time stream processing.,c553bd84
azure,Analytics Reserved,Azure RI Synapse Analytics,Reserved instance for Synapse Analytics.,8f29359f
azure,Analytics Reserved,Azure RI Databricks,Reserved instance for Databricks.,17684ed7
azure,Artificial Intelligence,Azure Cognitive Search,Provides AI-powered cloud search service.,b0ceccfc
azure,Artificial Intelligence,Azure Machine Learning,Offers cloud-based machine learning service.,8356f230
azure,Artificial Intelligence,Machine Learning,Provides machine learning services.,48ed9042
azure,Artificial Intelligence,Machine Learning Service,Offers managed machine learning service.,a61f56d9
azure,Artificial Intelligence,Machine Learning Studio,Provides collaborative data science development environment.,4a023386
azure,Artificial Intelligence,ML API Services,Offers machine learning API services.,9d04c7ba
azure,Compute Reserved,Azure Reserved Instance,Reserved instance for compute services.,d57b5308
azure,Compute,10 Hrs,Provides 10 hours of compute service.,1f731919
azure,Compute,100 Hourly Reserved Units,Offers 100 hourly reserved compute units.,1f9d0444
azure,Compute,100 Hourly Units,Provides 100 hourly compute units.,9e525490
azure,Compute,100 Hrs,Offers 100 hours of compute service.,a795db13
azure,Compute,100 Minutes,Provides 100 minutes of compute service.,b0a9facc
azure,Compute,API Management,Offers API management service.,71ffeffd
azure,Compute,App Services,Provides platform for building and hosting web apps.,17f0d303
azure,Compute,Automation,Offers automation services.,7e6f1fb6
azure,Compute,Automation and Control,Provides automation and control services.,585a9a5f
azure,Compute,Azure App Service Plan,Offers plans for Azure App Service.,e763689f
azure,Compute,Azure App Service,Provides platform for building and hosting web apps.,a0e112ba
azure,Compute,Batch,Offers job scheduling and compute management.,4b68f493
azure,Compute,Cloud Services,Provides cloud-based services.,aec448c8
azure,Compute,Container Instances,Offers container management service.,a4261189
azure,Compute,Container Registry,Provides container image registry service.,959d80db
azure,Compute,Functions,Offers serverless compute service.,2ae38666
azure,Compute,Microsoft.Compute/virtualMachines,Provides virtual machines.,6ffcf8e4
azure,Compute,Microsoft.Web/serverfarms,Offers server farms for web hosting.,15d4c318
azure,Compute,Microsoft.Web/sites,Provides web hosting services.,e72c5f15
azure,Compute,RemoteApp,Offers remote application services.,2797053b
azure,Compute,Scheduler,Provides job scheduling service.,fde96be7
azure,Compute,Service Bus,Offers messaging infrastructure.,35f8e794
azure,Compute,Virtual Machines,Provides virtual machines.,0d8e1378
azure,Other,Unassociated Cost,Represents unassociated costs.,145b7dbc
azure,Compute,Visual Studio,Offers development tools.,e797ca1a
azure,Compute,Websites,Provides web hosting services.,1a6c0335
azure,Compute,Windows Azure Service Bus,Offers messaging infrastructure.,09e22ab4
azure,Compute,Specialized Compute,Provides specialized compute services.,101ca182
azure,Compute Reserved,Azure RI Dedicated Host,Reserved instance for dedicated host.,38a79c88
azure,Compute Reserved,Azure RI Red Hat OpenShift,Reserved instance for Red Hat OpenShift.,027bc49c
azure,Database,Azure Cosmos DB,"Provides globally distributed, multi-model database service.",79b1134e
azure,Database,Azure Database for MariaDB,Offers managed MariaDB database service.,45b79cad
azure,Database,Azure Database for MySQL,Provides managed MySQL database service.,7909d589
azure,Database,Azure Database for PostgreSQL,Offers managed PostgreSQL database service.,28636184
azure,Database,Azure DB for MYSql,Provides managed MySQL database service.,2cf1f5dc
azure,Database,Database Services,Offers various database services.,a3959366
azure,Database,DocumentDB,Provides NoSQL document database service.,ff86cfd2
azure,Database,Managed SQL Instance,Offers managed SQL database instance.,2b54240b
azure,Database,SQL Data Warehouse,Provides data warehousing service.,c7f942dc
azure,Database,SQL Database,Offers managed SQL database service.,f0edc01d
azure,Database,ElasticPool,Provides elastic pool for SQL databases.,20953b81
azure,Database,SQL Managed Instance,Offers managed SQL database instance.,37feedb1
azure,Database,SQL Reporting,Provides SQL reporting services.,fb4362f9
azure,Database,SQL Server Stretch Database,Offers SQL Server stretch database service.,861f5006
azure,Database,SQL Elastic Pool,Provides elastic pool for SQL databases.,19d6f05f
azure,DevOps,Azure DevOps,Offers development and collaboration tools.,d350554a
azure,Container,Azure Kubernetes Service,Provides managed Kubernetes service.,532c2bc6
azure,License,License,Represents licensing costs.,e776187d
azure,License,Virtual Machines Licenses,Provides licenses for virtual machines.,16857a66
azure,Monitoring,Azure Monitor,Offers monitoring and diagnostics service.,e56d0814
azure,Monitoring,Network Watcher,Provides network monitoring and diagnostics.,c1f0f51c
azure,Network,*Microsoft.Network/networkInterfaces,Provides network interfaces for Azure virtual machines.,6f913ee4
azure,Network,Application Gateway,Offers application-level routing and load balancing.,7175e531
azure,Network,Azure Active Directory B2C,Provides identity management for customer-facing applications.,ab80c5b5
azure,Network,Azure Bastion,Enables secure and seamless RDP and SSH connectivity to VMs.,9d703dfa
azure,Network,Azure DDOS Protection,Provides distributed denial-of-service (DDoS) protection.,b441b8ec
